date,code,open,close,amount
2022-07-29,sh.600000,8.0100,7.2600,4182142702.8000
2022-07-29,sh.600004,14.7100,12.9500,5249185446.8900
2022-07-29,sh.600006,7.5000,7.1600,8842241553.0900
2022-07-29,sh.600007,14.7600,14.4200,996827609.2500
2022-07-29,sh.600008,2.9100,2.9400,4032979720.0700
2022-07-29,sh.600009,56.1700,51.5800,14792687264.3600
2022-07-29,sh.600010,2.3300,2.2600,27795843324.7400
2022-07-29,sh.600011,7.1100,7.0200,17862928099.7800
2022-07-29,sh.600012,7.4600,6.9100,1541883891.0700
2022-07-29,sh.600015,5.2100,5.1200,1437273136.7100
2022-07-29,sh.600016,3.7200,3.6400,3313687812.8800
2022-07-29,sh.600017,3.0400,3.1500,3223223202.7400
2022-07-29,sh.600018,5.8200,5.4800,3125786263.2700
2022-07-29,sh.600019,6.0400,5.6700,8710957442.6800
2022-07-29,sh.600020,3.1200,3.0900,1310252942.2000
2022-07-29,sh.600021,10.3500,9.6700,13839976038.4100
2022-07-29,sh.600022,1.7300,1.6800,2188673920.0900
2022-07-29,sh.600023,3.4800,3.4800,3523601491.9400
2022-07-29,sh.600025,7.0000,7.0700,5132361480.1900
2022-07-29,sh.600026,10.2900,12.6700,13350381230.9600
2022-07-29,sh.600027,3.9400,4.3200,7659439817.5900
2022-07-29,sh.600028,4.0800,4.1100,6563846684.4200
2022-07-29,sh.600029,7.2600,6.4000,6271497641.3100
2022-07-29,sh.600030,21.7000,19.6000,27214883495.8400
2022-07-29,sh.600031,19.3000,17.0400,35532854726.7200
2022-07-29,sh.600032,15.2300,14.3300,8770103425.5800
2022-07-29,sh.600033,2.7700,2.9100,2875785778.5600
2022-07-29,sh.600035,3.2700,3.5800,3549504850.4500
2022-07-29,sh.600036,42.3800,35.0700,56452909387.8300
2022-07-29,sh.600037,9.4000,8.9000,2706668436.4200
2022-07-29,sh.600038,45.1000,43.8500,9308414766.3000
2022-07-29,sh.600039,10.6500,10.1100,5110428789.6300
2022-07-29,sh.600048,17.4700,16.6700,32452842670.1400
2022-07-29,sh.600050,3.4700,3.4400,4129082844.2700
2022-07-29,sh.600051,6.8100,7.1700,914157053.1400
2022-07-29,sh.600052,4.5200,5.1500,1217423498.4300
2022-07-29,sh.600053,16.3100,17.0000,910574613.4800
2022-07-29,sh.600054,11.8000,10.4800,1903290105.9600
2022-07-29,sh.600055,24.3700,22.1500,3532344099.0100
2022-07-29,sh.600056,14.8200,14.5100,25532787109.7900
2022-07-29,sh.600057,8.8000,8.3200,2127605404.9300
2022-07-29,sh.600058,10.1300,9.8600,4086236345.5200
2022-07-29,sh.600059,10.9200,9.9000,2921988057.1900
2022-07-29,sh.600060,12.5400,12.9400,3555268998.9200
2022-07-29,sh.600061,6.3500,6.1100,1965931753.3400
2022-07-29,sh.600062,25.1000,20.8500,37580758423.3700
2022-07-29,sh.600063,7.4000,7.3000,8887544895.3500
2022-07-29,sh.600064,11.0100,6.6100,2159163300.3100
2022-07-29,sh.600066,8.6800,7.8800,5613094171.8300
2022-07-29,sh.600067,3.6100,3.6600,1756620314.2400
2022-07-29,sh.600070,5.8800,5.3500,701501821.4800
2022-07-29,sh.600071,20.8000,24.7800,9088952643.9500
2022-07-29,sh.600072,12.1800,12.8200,3545145444.2300
2022-07-29,sh.600073,7.9400,7.4300,2195016229.5700
2022-07-29,sh.600075,6.3900,6.2400,1708560561.2200
2022-07-29,sh.600076,3.2900,3.1800,432291784.6700
2022-07-29,sh.600077,3.7200,3.4000,2504033778.3800
2022-07-29,sh.600078,11.2600,15.2500,5154936588.7200
2022-07-29,sh.600079,16.1000,17.5700,19337264471.9600
2022-07-29,sh.600080,7.6200,7.9600,626405953.0800
2022-07-29,sh.600081,12.5800,13.1700,1938152279.5200
2022-07-29,sh.600082,3.3800,3.3500,975090580.3100
2022-07-29,sh.600083,9.6500,9.7500,269914853.8000
2022-07-29,sh.600084,6.0800,6.3300,963757658.1600
2022-07-29,sh.600085,52.6600,47.0600,9548636209.0200
2022-07-29,sh.600088,9.0900,8.8800,541045605.7000
2022-07-29,sh.600089,27.6000,24.9800,67022705907.5000
2022-07-29,sh.600094,3.6700,3.2800,860070009.0500
2022-07-29,sh.600095,7.7300,7.0200,1598105768.7700
2022-07-29,sh.600096,31.6000,26.0700,61029643843.3500
2022-07-29,sh.600097,9.8300,9.5300,598380231.0500
2022-07-29,sh.600098,6.2600,5.7800,4535579489.0100
2022-07-29,sh.600099,8.6300,8.8900,752958509.4200
